"","x"
"1",4
"2",3
"3",1
"4",4
"5",7
"6",7
"7",1
"8",4
"9",8
"10",7
"11",1
"12",6
"13",5
"14",4
"15",5
"16",6
"17",7
"18",5
"19",8
"20",7
"21",1
"22",7
"23",8
"24",4
"25",6
"26",1
"27",7
"28",7
"29",5
"30",6
"31",8
"32",1
"33",4
"34",5
"35",6
"36",6
"37",6
"38",4
"39",7
"40",4
"41",5
"42",6
"43",7
"44",4
"45",8
"46",4
"47",6
"48",1
"49",7
"50",3
"51",7
"52",6
"53",6
"54",1
"55",3
"56",4
"57",1
"58",5
"59",1
"60",6
"61",6
"62",4
"63",7
"64",3
"65",1
"66",6
"67",5
"68",8
"69",6
"70",8
"71",1
"72",3
"73",7
"74",5
"75",4
"76",1
"77",8
"78",4
"79",1
"80",1
"81",8
"82",6
"83",4
"84",5
"85",6
"86",6
"87",8
"88",5
"89",7
"90",6
"91",1
"92",5
"93",6
"94",5
"95",4
"96",7
"97",5
"98",6
"99",6
"100",1
"101",1
"102",3
"103",5
"104",4
"105",7
"106",8
"107",3
"108",7
"109",7
"110",6
"111",4
"112",3
"113",3
"114",6
"115",1
"116",6
"117",5
"118",8
"119",3
"120",4
"121",5
"122",3
"123",3
"124",3
"125",3
"126",1
"127",7
"128",3
"129",8
"130",7
"131",6
"132",7
"133",7
"134",5
"135",8
"136",1
"137",5
"138",5
"139",7
"140",4
"141",1
"142",5
"143",4
"144",1
"145",7
"146",7
"147",5
"148",3
"149",7
"150",4
"151",5
"152",8
"153",5
"154",7
"155",1
"156",6
"157",1
"158",5
"159",6
"160",3
"161",6
"162",5
"163",4
"164",7
"165",7
"166",6
"167",4
"168",1
"169",1
"170",5
"171",6
"172",4
"173",1
"174",8
"175",8
"176",5
"177",7
"178",1
"179",4
"180",6
"181",1
"182",4
"183",1
"184",5
"185",8
"186",7
"187",3
"188",8
"189",4
"190",5
"191",3
"192",4
"193",4
"194",3
"195",5
"196",8
"197",4
"198",3
"199",6
"200",1
"201",4
"202",5
"203",5
"204",1
"205",8
"206",1
"207",5
"208",5
"209",3
"210",6
"211",4
"212",7
"213",6
"214",6
"215",6
"216",1
"217",1
"218",1
"219",7
"220",7
"221",1
"222",3
"223",7
"224",6
"225",1
"226",7
"227",5
"228",7
"229",5
"230",4
"231",1
"232",4
"233",6
"234",1
"235",8
"236",4
"237",5
"238",5
"239",3
"240",7
"241",6
"242",5
"243",5
"244",5
"245",6
"246",7
"247",7
"248",7
"249",3
"250",1
"251",6
"252",5
"253",5
"254",5
"255",6
"256",1
"257",3
"258",5
"259",6
"260",1
"261",5
"262",8
"263",7
"264",4
"265",5
"266",8
"267",4
"268",1
"269",8
"270",1
"271",4
"272",4
"273",4
"274",6
"275",6
"276",1
"277",7
"278",1
"279",5
"280",6
"281",7
"282",4
"283",7
"284",7
"285",5
"286",4
"287",4
"288",4
"289",3
"290",7
"291",8
"292",4
"293",4
"294",1
"295",6
"296",5
"297",4
"298",7
"299",4
"300",5
"301",3
"302",8
"303",3
"304",8
"305",6
"306",7
"307",7
"308",7
"309",5
"310",6
"311",7
"312",4
"313",1
"314",7
"315",6
"316",7
"317",7
"318",3
"319",1
"320",5
"321",6
"322",4
"323",4
"324",1
"325",7
"326",7
"327",6
"328",5
"329",4
"330",6
"331",1
"332",8
"333",1
"334",1
"335",4
"336",1
"337",5
"338",8
"339",7
"340",8
"341",4
"342",1
"343",7
"344",8
"345",5
"346",1
"347",3
"348",4
"349",1
"350",1
"351",4
"352",5
"353",7
"354",6
"355",7
"356",6
"357",1
"358",4
"359",4
"360",7
"361",5
"362",8
"363",7
"364",7
"365",7
"366",7
"367",6
"368",5
"369",8
"370",4
"371",5
"372",4
"373",5
"374",7
"375",7
"376",5
"377",3
"378",1
"379",1
"380",3
"381",6
"382",7
"383",6
"384",3
"385",5
"386",8
"387",7
"388",7
"389",4
"390",4
"391",1
"392",4
"393",6
"394",4
"395",1
"396",5
"397",7
"398",4
"399",8
"400",4
"401",8
"402",1
"403",6
"404",1
"405",3
"406",6
"407",5
"408",3
"409",1
"410",1
"411",7
"412",4
"413",7
"414",7
"415",8
"416",1
"417",5
"418",5
"419",4
"420",7
"421",4
"422",5
"423",4
"424",1
"425",6
"426",1
"427",5
"428",5
"429",3
"430",7
"431",7
"432",8
"433",3
"434",4
"435",5
"436",4
"437",5
"438",3
"439",7
"440",6
"441",5
"442",6
"443",5
"444",7
"445",3
"446",7
"447",7
"448",8
"449",4
"450",7
"451",5
"452",1
"453",8
"454",1
"455",5
"456",5
"457",1
"458",7
"459",5
"460",1
"461",5
"462",8
"463",6
"464",4
"465",3
"466",1
"467",6
"468",7
"469",7
"470",8
"471",7
"472",6
"473",1
"474",8
"475",8
"476",5
"477",1
"478",1
"479",5
"480",1
"481",7
"482",6
"483",8
"484",5
"485",6
"486",4
"487",3
"488",4
"489",8
"490",7
"491",7
"492",4
"493",5
"494",5
"495",6
"496",5
"497",5
"498",4
"499",4
"500",1
"501",3
"502",7
"503",1
"504",5
"505",6
"506",1
"507",1
"508",7
"509",5
"510",5
"511",5
"512",7
"513",7
"514",6
"515",1
"516",5
"517",4
"518",7
"519",6
"520",5
"521",7
"522",1
"523",7
"524",6
"525",1
"526",4
"527",1
"528",1
"529",4
"530",1
"531",5
"532",5
"533",1
"534",8
"535",7
"536",6
"537",4
"538",7
"539",1
"540",4
"541",7
"542",8
"543",3
"544",3
"545",7
"546",8
"547",1
"548",6
"549",4
"550",6
"551",8
"552",5
"553",7
"554",6
"555",4
"556",7
"557",6
"558",1
"559",3
"560",8
"561",7
"562",3
"563",7
"564",5
"565",4
"566",1
"567",4
"568",4
"569",7
"570",6
"571",1
"572",3
"573",8
"574",5
"575",1
"576",4
"577",5
"578",6
"579",7
"580",6
"581",1
"582",8
"583",6
"584",1
"585",6
"586",4
"587",3
"588",4
"589",7
"590",4
"591",4
"592",7
"593",6
"594",7
"595",1
"596",6
"597",1
"598",5
"599",6
"600",5
"601",7
"602",4
"603",6
"604",1
"605",7
"606",4
"607",7
"608",3
"609",4
"610",7
"611",5
"612",8
"613",1
"614",5
"615",7
"616",4
"617",3
"618",6
"619",1
"620",4
"621",8
"622",5
"623",5
"624",4
"625",6
"626",7
"627",8
"628",8
"629",4
"630",4
"631",6
"632",7
"633",3
"634",1
"635",7
"636",1
"637",7
"638",6
"639",4
"640",3
"641",4
"642",3
"643",6
"644",6
"645",5
"646",5
"647",1
"648",8
"649",5
"650",6
"651",1
"652",4
"653",1
"654",4
"655",5
"656",5
"657",4
"658",7
"659",1
"660",5
"661",4
"662",4
"663",6
"664",1
"665",5
"666",6
"667",1
"668",6
"669",5
"670",6
"671",6
"672",5
"673",1
"674",6
"675",3
"676",4
"677",7
"678",6
"679",1
"680",6
"681",6
"682",8
"683",7
"684",7
"685",3
"686",3
"687",7
"688",4
"689",6
"690",5
"691",4
"692",1
"693",3
"694",7
"695",8
"696",7
"697",4
"698",7
"699",5
"700",5
"701",7
"702",4
"703",4
"704",7
"705",3
"706",7
"707",4
"708",5
"709",7
"710",5
"711",5
"712",8
"713",4
"714",3
