"","x","crinum"
"754","VSTM2L",12586
"757","XIST",12246
"753","VSTM2A",10687
"762","ZBTB18",10566
"759","YWHAG",9852
"404","MT-CYB",9298
"758","YJEFN3",9228
"428","NCKAP1",8374
"295","HOPX",7719
"756","WASF1",7658
"663","SNCG",7421
"752","VSNL1",7162
"87","CA2",6867
"113","CBX6",6800
"608","SCARB2",6730
"250","GAP43",6634
"184","DDN",6476
"13","AGT",6446
"563","RBFOX1",6389
"93","CADM3",6316
"192","DNM1",6271
"424","NAPA",6227
"426","NCALD",6204
"9","ADCY1",6113
"468","OMG",6112
"723","TMSB10",6111
"714","TM2D3",6051
"341","KLK6",6017
"709","TESPA1",6012
"299","HPRT1",5925
"202","EGR3",5831
"331","KCTD1",5798
"107","CAP2",5781
"259","GNAL",5747
"280","GTF2I",5728
"233","FKBP1A",5679
"493","PFKP",5622
"477","PARM1",5612
"539","PSD",5610
"25","AP2M1",5555
"409","MT-ND6",5441
"137","CHN1",5381
"320","JAM3",5345
"478","PCDH7",5304
"255","GJC2",5276
"561","RASL10A",5062
"340","KLC1",5043
"376","MARCKSL1",5001
"170","CTXN1",4982
"760","YWHAH",4905
"716","TMEM151B",4836
"53","ATP5MC3",4775
"692","SYBU",4736
"621","SELENOH",4718
"731","TRIO",4704
"531","PRKCA",4600
"398","MRPL33",4591
"207","ENOPH1",4526
"550","PVALB",4515
"298","HPCAL4",4458
"198","EEF1A2",4411
"681","SSX2IP",4362
"89","CABP1",4336
"157","COX5A",4293
"42","ATP13A2",4251
"279","GSN",4236
"374","MAP7D1",4219
"675","SPINT2",4212
"717","TMEM258",4187
"203","EIF4A2",4154
"353","LINC00599",4131
"483","PCP4L1",4092
"330","KCNV1",4081
"325","KCNC2",4067
"688","SUGP2",4045
"10","ADCYAP1",4024
"685","STUM",4007
"466","OLFM1",4002
"411","MT2A",3998
"231","FIBP",3986
"565","RCAN2",3979
"383","MEF2C",3969
"721","TMOD1",3949
"312","INPP5F",3931
"636","SHISA9",3921
"49","ATP2B1",3904
"513","PLLP",3892
"246","GABRB2",3889
"386","MEIS3",3887
"627","SERF2",3868
"694","SYNE1",3866
"418","MYRF",3860
"727","TPI1",3859
"243","GABBR2",3855
"712","THRB",3851
"143","CLCN3",3849
"357","LMO3",3848
"108","CARNS1",3825
"504","PINK1",3808
"713","THY1",3808
"585","RPL30",3805
"26","APLP1",3803
"593","RPS19",3801
"228","FEZ1",3800
"571","RHOBTB2",3793
"391","MGP",3792
"40","ATL1",3780
"269","GPRC5B",3761
"306","HSPH1",3743
"150","CNIH2",3732
"726","TP53INP2",3725
"115","CCNI",3700
"664","SNN",3698
"399","MT-ATP6",3697
"389","MGAT5B",3691
"226","FBXO9",3687
"553","R3HDM1",3684
"178","DAZAP2",3677
"446","NKX6-2",3675
"610","SCD5",3672
"654","SLC48A1",3667
"462","NSMF",3661
"123","CDK14",3659
"307","ICAM5",3647
"469","OPALIN",3646
"500","PHYHIP",3630
"441","NEGR1",3627
"132","CFL2",3615
"334","KIAA0930",3612
"613","SCGB2A2",3606
"176","CYP46A1",3598
"702","SYT16",3593
"163","CREG2",3576
"230","FGFR2",3569
"270","GPX3",3568
"182","DCLK1",3564
"590","RPS10",3557
"152","CNP",3553
"670","SORT1",3550
"324","KCNAB2",3539
"342","KRT17",3535
"540","PTEN",3534
"379","MBOAT7",3528
"38","ARPP21",3525
"209","EPHA4",3519
"223","FBXL15",3518
"584","RPL28",3515
"734","TSPAN7",3509
"387","METRN",3499
"287","HIPK2",3496
"245","GABRA5",3488
"656","SLC8A2",3487
"219","FAM19A5",3485
"449","NME1",3485
"545","PTP4A2",3484
"81","C1QTNF4",3471
"447","NLK",3470
"131","CERS2",3469
"597","RPS27A",3464
"419","MYT1L",3452
"589","RPLP1",3447
"738","TTYH3",3435
"682","STMN1",3432
"336","KIAA1549L",3431
"541","PTGDS",3431
"247","GABRB3",3421
"740","TUBA1B",3415
"238","FTH1",3403
"145","CLDND1",3387
"495","PGAM1",3360
"161","CPLX2",3332
"630","SERPINI1",3329
"511","PLEKHB1",3315
"155","CNTNAP2",3310
"189","DIRAS2",3278
"364","LZTS3",3272
"272","GRIA2",3261
"502","PIK3R1",3232
"29","AQP4",3222
"427","NCDN",3207
"67","BEX1",3188
"194","DPP6",3181
"2","ABCA2",3174
"266","GPM6B",3169
"739","TUBA1A",3169
"229","FGF12",3167
"48","ATP2A2",3162
"686","STX1A",3161
"311","INF2",3159
"225","FBXO34",3136
"130","CERCAM",3124
"505","PIP4K2A",3124
"17","AL359091.1",3123
"460","NSG1",3121
"452","NPTXR",3106
"37","ARPP19",3101
"581","RPL13",3101
"655","SLC4A10",3094
"751","VGF",3094
"564","RBP4",3091
"576","ROGDI",3076
"557","RAB6B",3050
"476","PAQR8",3033
"696","SYNGR2",3026
"3","ABR",3018
"109","CARTPT",3008
"510","PLD3",3007
"179","DBI",3003
"496","PGK1",2994
"385","MEG3",2987
"308","IFITM3",2983
"278","GRSF1",2978
"296","HPCA",2967
"566","RCN1",2963
"559","RASGRF1",2960
"301","HS6ST1",2959
"549","PUF60",2959
"666","SNRNP70",2949
"187","DGKB",2947
"429","NCS1",2940
"573","RIMS3",2929
"697","SYNGR3",2929
"472","PACSIN1",2921
"601","RPS9",2914
"86","CA11",2909
"579","RPL10",2883
"620","SDCBP",2882
"375","MAPK10",2878
"438","NEFH",2875
"63","B4GALNT1",2849
"667","SNRPN",2848
"329","KCNK3",2843
"358","LMO4",2840
"401","MT-CO1",2829
"97","CALM1",2825
"560","RASGRF2",2818
"442","NENF",2814
"693","SYN2",2811
"153","CNR1",2809
"614","SCN1A",2805
"422","NAP1L3",2787
"52","ATP5MC2",2785
"432","NDRG4",2769
"217","FAM19A1",2761
"148","CMTM5",2760
"236","FRMPD2",2755
"556","RAB5C",2753
"741","TUBB2A",2743
"128","CELF5",2738
"11","ADD3",2733
"574","RNASE1",2733
"138","CHP1",2724
"310","INA",2722
"196","EDIL3",2714
"562","RASSF2",2713
"20","AMPD2",2709
"457","NRXN2",2707
"258","GLTP",2705
"498","PHLDB1",2698
"629","SERPINE2",2695
"362","LRP1",2691
"167","CSRP1",2677
"332","KCTD16",2667
"172","CX3CL1",2664
"640","SLAIN1",2661
"227","FBXW7",2660
"319","ITPR1",2643
"252","GHITM",2639
"497","PHACTR1",2625
"315","IQSEC2",2620
"234","FNDC4",2618
"708","TECR",2612
"699","SYNPO",2605
"34","ARL8A",2600
"625","SEPT4",2589
"133","CHCHD10",2571
"356","LINGO1",2569
"596","RPS27",2557
"96","CALB2",2549
"506","PITPNM2",2538
"256","GLDN",2534
"598","RPS3",2508
"684","STMN4",2503
"120","CDC42EP1",2479
"156","COPS8",2470
"587","RPL37A",2463
"214","FA2H",2458
"286","HAPLN4",2446
"146","CLSTN2",2433
"448","NLRP1",2433
"110","CBLN2",2398
"162","CPNE6",2392
"707","TCEAL2",2387
"344","KRT19",2382
"724","TMSB4X",2378
"104","CAMKK1",2376
"649","SLC2A13",2365
"300","HS3ST2",2364
"406","MT-ND3",2335
"309","IGFBP5",2323
"528","PRDX6",2301
"494","PFN2",2294
"19","AMER2",2285
"371","MAP1B",2279
"264","GPI",2274
"393","MKL2",2274
"439","NEFL",2274
"761","YWHAZ",2257
"57","ATP6V1C1",2255
"679","SST",2252
"289","HLA-A",2239
"594","RPS20",2223
"111","CBLN4",2217
"440","NEFM",2206
"304","HSPA2",2198
"704","TAGLN3",2184
"160","CPLX1",2182
"195","DPYSL2",2173
"703","SYT5",2168
"632","SFXN5",2161
"32","ARL3",2156
"79","C1orf122",2154
"276","GRIN2B",2152
"147","CLTC",2151
"705","TBCB",2147
"676","SPOCK1",2137
"755","VWA1",2128
"294","HOMER1",2112
"595","RPS23",2108
"544","PTMS",2105
"235","FOLH1",2097
"691","SV2A",2088
"16","AKAP5",2083
"622","SELENOP",2071
"668","SNX10",2068
"413","MTUS1",2067
"515","PMP22",2022
"546","PTPRA",2016
"421","NAP1L2",2010
"240","FUS",1998
"343","KRT18",1996
"547","PTPRF",1993
"661","SNCA",1987
"90","CACNB2",1977
"7","ACTR2",1976
"698","SYNJ1",1961
"578","RPH3A",1958
"98","CALM3",1949
"271","GRASP",1949
"313","IPCEF1",1942
"77","C16orf45",1923
"118","CD74",1920
"75","C11orf87",1916
"722","TMOD2",1907
"580","RPL11",1899
"568","RGS4",1892
"488","PDPK1",1891
"658","SMYD2",1882
"339","KIFC2",1870
"119","CD9",1864
"701","SYT1",1862
"635","SHISA4",1857
"211","ERMN",1847
"359","LMTK2",1834
"47","ATP1B2",1829
"213","EVI2A",1816
"200","EFHD2",1815
"487","PDP1",1815
"220","FAM213A",1810
"416","MYL6",1808
"405","MT-ND1",1795
"678","SSBP4",1773
"58","ATP6V1G1",1769
"262","GOT1",1753
"85","CA10",1748
"520","PPME1",1743
"749","VAMP3",1743
"607","SAA1",1717
"54","ATP6V0A1",1686
"181","DCAF11",1684
"479","PCDH8",1682
"623","SEMA3B",1681
"188","DIRAS1",1677
"403","MT-CO3",1675
"112","CBR1",1670
"725","TOLLIP",1660
"41","ATOX1",1645
"242","GABBR1",1645
"430","NDRG1",1641
"415","MVB12B",1629
"317","ITFG1",1627
"268","GPR37",1622
"159","COX7B",1609
"4","AC018647.1",1605
"366","MAGED1",1596
"657","SLITRK1",1594
"616","SCN2A",1591
"284","H3F3B",1590
"326","KCNH5",1579
"750","VDAC2",1561
"586","RPL34",1558
"355","LINC01007",1548
"381","MDH1",1548
"745","UCHL1",1542
"720","TMEM65",1540
"22","ANO3",1538
"183","DCTN3",1537
"43","ATP1A1",1536
"14","AIF1L",1531
"129","CEND1",1529
"28","AQP1",1508
"244","GABRA1",1508
"117","CD200",1504
"83","C6orf62",1498
"345","LAMP1",1496
"687","STXBP1",1494
"384","MEF2D",1490
"204","ELOVL1",1485
"15","AK5",1484
"591","RPS12",1479
"221","FAM3C",1477
"21","ANLN",1467
"333","KHDRBS3",1465
"407","MT-ND4",1461
"27","APOD",1447
"76","C14orf132",1443
"583","RPL19",1443
"372","MAP2",1438
"485","PDE1B",1437
"71","BNIP3",1434
"33","ARL6IP1",1430
"175","CYFIP2",1430
"65","BCAS1",1429
"634","SHANK3",1429
"617","SCN3B",1428
"719","TMEM63A",1423
"100","CAMK2A",1414
"36","ARPC5L",1408
"369","MALAT1",1407
"492","PFKL",1405
"523","PPP1R9B",1404
"390","MGLL",1402
"135","CHGA",1398
"592","RPS18",1398
"165","CRYAB",1396
"689","SULT4A1",1375
"397","MOG",1362
"467","OLIG1",1362
"126","CDKN1C",1353
"18","ALDOA",1352
"648","SLC25A5",1340
"567","RGS12",1332
"519","PPFIA2",1331
"638","SIRPA",1315
"609","SCD",1297
"554","RAB3A",1296
"62","B3GALT2",1295
"611","SCG2",1290
"59","ATP6V1G2",1287
"388","MFSD4A",1281
"742","TUBB4B",1274
"570","RHOA",1273
"747","UQCRH",1271
"551","QDPR",1269
"292","HMGN2",1267
"116","CCT2",1265
"711","THRA",1256
"618","SCN8A",1255
"410","MT1E",1253
"370","MAN1C1",1246
"285","HAPLN2",1244
"30","ARHGDIG",1243
"471","PACS2",1238
"628","SERP2",1237
"612","SCG5",1235
"538","PRRT2",1234
"149","CNDP1",1233
"249","GAD1",1233
"480","PCDH9",1232
"142","CIT",1231
"254","GJB1",1231
"473","PADI2",1207
"208","ENPP2",1203
"24","AP1S1",1180
"144","CLDN11",1176
"669","SORBS2",1170
"237","FRRS1L",1166
"216","FAM131A",1163
"474","PAK1",1153
"88","CA4",1148
"455","NRN1",1147
"746","UGT8",1142
"715","TMEM144",1141
"224","FBXL16",1139
"512","PLEKHH1",1134
"173","CXCL14",1129
"748","VAMP1",1125
"56","ATP6V1B2",1123
"352","LINC00507",1121
"44","ATP1A2",1105
"114","CCK",1098
"124","CDK5",1090
"261","GNG3",1089
"351","LHPP",1076
"60","ATRNL1",1074
"644","SLC1A2",1070
"631","SEZ6L2",1069
"297","HPCAL1",1067
"318","ITPKA",1067
"45","ATP1A3",1065
"521","PPP1R14A",1065
"302","HS6ST3",1057
"125","CDK5R1",1053
"251","GFAP",1039
"412","MTURN",1037
"335","KIAA1211L",1031
"84","C9orf16",1030
"103","CAMK4",1027
"503","PIN1",1026
"730","TRIM37",1021
"282","H1FX",1018
"350","LGALS3BP",1017
"456","NRXN1",1015
"626","SEPT8",1012
"728","TPPP",1011
"281","GUCY1B1",1009
"106","CAMSAP2",1007
"543","PTMA",993
"293","HNRNPA2B1",983
"600","RPS8",979
"31","ARHGEF12",976
"349","LGALS1",976
"450","NNAT",972
"197","EEF1A1",964
"177","DAAM2",963
"484","PCSK1N",957
"158","COX7A1",947
"569","RGS7",942
"122","CDH22",940
"365","MAG",937
"91","CACNB3",933
"555","RAB40C",930
"491","PEG3",922
"327","KCNIP4",915
"166","CRYM",913
"277","GRINA",912
"417","MYO5A",911
"61","B2M",902
"420","NACC2",896
"518","PNMA8B",895
"218","FAM19A2",891
"232","FIS1",890
"459","NSF",890
"199","EFHD1",886
"291","HMGCR",886
"316","ISCU",886
"509","PLCB1",874
"665","SNORC",873
"435","NDUFA8",868
"222","FAM84A",858
"180","DBNDD1",857
"102","CAMK2N1",854
"454","NRGN",843
"690","SUN2",843
"444","NGEF",841
"659","SNAP25",839
"99","CALY",835
"706","TBR1",835
"737","TTYH2",830
"121","CDH13",828
"6","ACTN1",826
"169","CTNND2",819
"260","GNG2",819
"451","NPTN",817
"464","NTRK3",816
"105","CAMKK2",813
"482","PCP4",806
"241","FXYD7",803
"434","NDUFA4",803
"489","PDZD4",801
"212","ETS2",798
"633","SH3GL2",798
"408","MT-ND5",789
"673","SOX8",789
"729","TPPP3",782
"210","ERBB3",775
"354","LINC00844",772
"743","TUBG2",770
"174","CYCS",760
"736","TTLL7",760
"548","PTPRN",757
"205","ENC1",755
"516","PNCK",755
"136","CHL1",749
"346","LAMP2",749
"305","HSPA8",746
"253","GIT1",741
"78","C1orf115",737
"347","LAMP5",737
"437","NECAB2",732
"700","SYP",731
"445","NINJ2",729
"525","PPP4R4",726
"526","PRAG1",726
"605","S100A13",724
"530","PRKAR1B",721
"94","CADM4",714
"283","H3F3A",714
"677","SPP1",711
"458","NRXN3",707
"361","LPAR1",706
"475","PAQR6",694
"151","CNKSR2",688
"672","SOX10",685
"191","DMTN",678
"732","TSC22D1",678
"425","NAPB",677
"653","SLC44A1",673
"643","SLC17A7",668
"380","MBP",664
"465","NUDT4",656
"215","FAM107B",654
"615","SCN1B",654
"436","NDUFAB1",653
"680","SSTR1",652
"599","RPS6",646
"8","ADAMTS4",638
"1","AATK",633
"744","UBE2QL1",632
"639","SIRT2",627
"490","PEA15",621
"190","DKK3",619
"710","TF",619
"185","DDR1",617
"72","BOK",616
"461","NSG2",615
"552","QKI",613
"168","CTBP1",612
"23","ANXA6",609
"443","NEURL1",609
"68","BEX2",603
"575","RNF130",601
"660","SNAP91",601
"39","ATCAY",599
"481","PCLO",594
"239","FTL",587
"378","MBNL2",587
"154","CNTN2",582
"348","LDB2",582
"558","RAPGEF5",581
"46","ATP1B1",569
"535","PRR18",568
"101","CAMK2D",565
"695","SYNGR1",565
"139","CHRDL1",563
"51","ATP2B4",559
"529","PREX1",559
"337","KIF3A",558
"367","MAGI1",557
"206","ENO2",546
"257","GLS",541
"402","MT-CO2",541
"290","HLA-B",540
"470","OXR1",533
"453","NREP",532
"536","PRR36",531
"35","ARNT2",524
"265","GPM6A",523
"377","MAST3",522
"433","NDUFA12",522
"537","PRRT1",522
"80","C1orf198",521
"248","GABRD",518
"186","DDRGK1",517
"718","TMEM59L",515
"201","EFR3B",513
"394","MLLT11",504
"577","RORB",504
"532","PRKCB",502
"50","ATP2B2",498
"624","SEMA4D",498
"733","TSC22D4",498
"95","CALB1",497
"606","S100B",495
"12","ADGRB1",493
"263","GPC1",487
"55","ATP6V1A",482
"508","PLA2G16",481
"431","NDRG3",480
"652","SLC39A10",473
"423","NAP1L5",465
"683","STMN2",464
"303","HSP90AB1",459
"140","CHRM1",455
"70","BIN1",453
"662","SNCB",453
"524","PPP3CA",442
"604","RTN4R",442
"735","TTC9B",436
"642","SLC12A5",431
"368","MAL",430
"392","MIAT",426
"127","CELF4",418
"486","PDE2A",418
"273","GRIA4",416
"134","CHD5",411
"328","KCNJ4",409
"64","BASP1",408
"395","MOAP1",408
"522","PPP1R7",403
"275","GRIN2A",402
"619","SCRT1",399
"641","SLC12A2",397
"499","PHLPP1",396
"651","SLC31A2",395
"66","BCL11A",388
"323","KCNA2",386
"314","IQSEC1",380
"69","BEX5",379
"5","ACSL3",374
"360","LNX1",372
"373","MAP2K1",367
"650","SLC30A3",367
"382","MEA1",366
"645","SLC24A2",361
"414","MUC1",358
"582","RPL13A",348
"400","MT-ATP8",345
"463","NTM",342
"572","RHOU",335
"517","PNMA8A",331
"274","GRIN1",327
"321","JPH3",314
"603","RTN3",312
"74","BTBD8",299
"92","CACNG3",299
"514","PLP1",294
"533","PRKCG",294
"82","C4orf48",284
"267","GPR162",276
"322","JPH4",255
"647","SLC25A23",252
"171","CUX2",242
"73","BRK1",239
"674","SPARC",233
"396","MOBP",224
"527","PRDX1",217
"671","SOWAHA",217
"501","PI4KA",202
"193","DOK6",198
"646","SLC25A22",197
"338","KIF3C",178
"637","SHTN1",175
"363","LRRTM4",167
"164","CRIP2",153
"288","HK1",149
"507","PKIG",147
"542","PTK2B",146
"534","PRPF8",137
"141","CHRM3",135
"602","RTN1",110
"588","RPLP0",84
