,domain_20
s_016um_00052_00082-1,8
s_016um_00010_00367-1,11
s_016um_00163_00399-1,15
s_016um_00238_00388-1,6
s_016um_00144_00175-1,3
s_016um_00347_00254-1,16
s_016um_00299_00088-1,13
s_016um_00252_00390-1,8
s_016um_00050_00315-1,8
s_016um_00225_00065-1,8
s_016um_00036_00081-1,6
s_016um_00188_00060-1,9
s_016um_00000_00401-1,8
s_016um_00135_00034-1,7
s_016um_00360_00235-1,12
s_016um_00269_00119-1,5
s_016um_00090_00014-1,8
s_016um_00204_00145-1,14
s_016um_00128_00350-1,1
s_016um_00237_00273-1,11
s_016um_00010_00356-1,8
s_016um_00224_00126-1,17
s_016um_00316_00246-1,11
s_016um_00283_00394-1,4
s_016um_00062_00064-1,8
s_016um_00191_00159-1,9
s_016um_00307_00090-1,13
s_016um_00323_00300-1,17
s_016um_00007_00095-1,6
s_016um_00064_00214-1,8
s_016um_00101_00317-1,9
s_016um_00302_00407-1,13
s_016um_00245_00233-1,18
s_016um_00122_00076-1,20
s_016um_00049_00195-1,9
s_016um_00032_00133-1,6
s_016um_00156_00366-1,11
s_016um_00022_00385-1,11
s_016um_00204_00012-1,17
s_016um_00061_00268-1,5
s_016um_00111_00233-1,19
s_016um_00082_00117-1,6
s_016um_00007_00208-1,8
s_016um_00189_00072-1,7
s_016um_00116_00279-1,5
s_016um_00065_00187-1,12
s_016um_00159_00107-1,5
s_016um_00021_00301-1,20
s_016um_00234_00397-1,8
s_016um_00043_00286-1,8
s_016um_00030_00363-1,16
s_016um_00306_00242-1,16
s_016um_00275_00023-1,11
s_016um_00247_00119-1,14
s_016um_00141_00377-1,1
s_016um_00209_00312-1,18
s_016um_00060_00068-1,8
s_016um_00185_00393-1,13
s_016um_00006_00201-1,8
s_016um_00202_00235-1,15
s_016um_00102_00186-1,9
s_016um_00243_00073-1,18
s_016um_00232_00075-1,18
s_016um_00094_00170-1,9
s_016um_00307_00012-1,8
s_016um_00099_00201-1,6
s_016um_00296_00058-1,13
s_016um_00029_00208-1,8
s_016um_00249_00094-1,10
s_016um_00077_00260-1,12
s_016um_00352_00330-1,8
s_016um_00308_00218-1,8
s_016um_00135_00089-1,12
s_016um_00233_00021-1,8
s_016um_00381_00259-1,8
s_016um_00233_00181-1,4
s_016um_00231_00236-1,14
s_016um_00309_00062-1,11
s_016um_00239_00291-1,11
s_016um_00066_00052-1,6
s_016um_00186_00418-1,18
s_016um_00176_00017-1,6
s_016um_00297_00121-1,13
s_016um_00076_00356-1,11
s_016um_00180_00334-1,17
s_016um_00174_00236-1,9
s_016um_00264_00325-1,16
s_016um_00092_00093-1,17
s_016um_00282_00263-1,16
s_016um_00327_00321-1,1
s_016um_00239_00200-1,17
s_016um_00257_00063-1,15
s_016um_00054_00383-1,11
s_016um_00251_00122-1,13
s_016um_00299_00019-1,8
s_016um_00188_00362-1,11
s_016um_00229_00132-1,1
s_016um_00180_00305-1,1
s_016um_00221_00087-1,6
s_016um_00245_00380-1,8
s_016um_00181_00069-1,20
s_016um_00059_00404-1,11
s_016um_00104_00259-1,8
s_016um_00188_00077-1,9
s_016um_00107_00392-1,12
s_016um_00007_00274-1,18
s_016um_00223_00165-1,6
s_016um_00285_00202-1,12
s_016um_00005_00015-1,8
s_016um_00217_00334-1,8
s_016um_00297_00344-1,12
s_016um_00140_00201-1,6
s_016um_00123_00068-1,7
s_016um_00202_00275-1,9
s_016um_00150_00381-1,11
s_016um_00293_00261-1,18
s_016um_00135_00323-1,12
s_016um_00160_00330-1,11
s_016um_00206_00323-1,1
s_016um_00023_00027-1,6
s_016um_00213_00186-1,3
s_016um_00342_00385-1,9
s_016um_00203_00089-1,7
s_016um_00319_00263-1,12
s_016um_00254_00219-1,8
s_016um_00057_00114-1,8
s_016um_00272_00118-1,7
s_016um_00206_00358-1,1
s_016um_00197_00176-1,4
s_016um_00154_00401-1,11
s_016um_00208_00354-1,11
s_016um_00238_00320-1,8
s_016um_00145_00363-1,18
s_016um_00165_00375-1,11
s_016um_00112_00388-1,4
s_016um_00206_00354-1,1
s_016um_00301_00334-1,12
s_016um_00159_00392-1,6
s_016um_00237_00351-1,8
s_016um_00067_00255-1,12
s_016um_00026_00248-1,20
s_016um_00200_00387-1,5
s_016um_00213_00340-1,4
s_016um_00201_00063-1,6
s_016um_00030_00281-1,18
s_016um_00372_00253-1,20
s_016um_00019_00134-1,6
s_016um_00364_00294-1,8
s_016um_00205_00320-1,16
s_016um_00093_00398-1,11
s_016um_00244_00115-1,7
s_016um_00082_00279-1,8
s_016um_00256_00158-1,20
s_016um_00043_00003-1,12
s_016um_00136_00058-1,18
s_016um_00052_00267-1,5
s_016um_00292_00412-1,4
s_016um_00238_00024-1,9
